text,label
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
URGENT: Your account will be suspended! Please verify your details at http://secure-login-paypal.com/verify immediately.,1
You have won a $1000 Amazon gift card! Click here http://free-gift-card-win.com to claim your prize now.,1
Security Alert: We detected unusual activity. Update your billing info at https://update.apple-support-id.com/login.,1
Your invoice is attached. Please review the payment details to avoid late fees.,1
"Dear customer, your password expires in 24 hours. Reset it using this link: http://bit.ly/secure-login",1
"Hi team, please find the meeting notes attached. Let me know if you have any questions.",0
"Your GitHub password was successfully changed. If this wasn't you, please contact support.",0
Thank you for your Amazon order! Your package will arrive by Tuesday.,0
Reminder: Team lunch tomorrow at 12 PM. See you there!,0
The quarterly report has been updated and is available on the shared drive.,0
